2025-08-25 19:29:38 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-08-26 12:02:13 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-08-26 12:02:13 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-08-26 12:02:13 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 1 historical messages
2025-08-26 12:02:13 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 4 for session 21497e85-5e42-4b77-a328-49fa524cc3be
2025-08-26 12:02:13 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '21497e85-5e42-4b77-a328-49fa524cc3be', 'workflow_checkpoint_id': 4, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-08-26 12:02:14 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 1 messages
2025-08-26 12:02:14 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-08-26 12:02:14 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-08-26 12:02:20 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-08-26 12:02:20 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-08-26 12:02:20 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-08-26 12:02:20 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-08-26 15:31:19 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 13:23:04 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 13:23:16 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 13:23:16 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 5
2025-09-10 13:23:16 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-09-10 13:23:16 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 13:23:16 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-09-10 13:23:16 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 1 historical messages
2025-09-10 13:23:16 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 5 for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 13:23:16 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'workflow_checkpoint_id': 5, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-09-10 13:23:17 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 1 messages
2025-09-10 13:23:17 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-09-10 13:23:17 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-09-10 13:23:21 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-09-10 13:23:21 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-09-10 13:23:21 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-09-10 13:23:21 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-09-10 14:36:17 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 14:46:00 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 14:47:13 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 14:47:14 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 6
2025-09-10 14:47:14 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-09-10 14:47:14 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 14:47:15 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-09-10 14:47:15 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 3 historical messages
2025-09-10 14:47:15 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 6 for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 14:47:15 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'workflow_checkpoint_id': 6, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-09-10 14:47:16 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 3 messages
2025-09-10 14:47:16 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-09-10 14:47:16 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-09-10 14:47:21 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-09-10 14:47:21 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-09-10 14:47:21 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-09-10 14:47:21 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-09-10 14:57:47 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:00:29 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:03:53 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:10:53 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:10:55 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:10:58 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:11:01 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:12:56 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:13:51 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:14:10 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 15:14:11 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 7
2025-09-10 15:14:11 | INFO     | conversation_api.py:invoke_debug:380 | Received debug-agent request
2025-09-10 15:14:11 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 15:14:11 | INFO     | conversation_api.py:invoke_debug:415 | Debug agent config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'model': 'gemini-2.5-flash', 'openai_api_key': None, 'openai_base_url': 'https://api.openai.com/v1'}
2025-09-10 15:14:11 | INFO     | conversation_api.py:invoke_debug:416 | Session ID: 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:14:11 | INFO     | conversation_api.py:invoke_debug:417 | Workflow nodes: ['3', '4', '5', '6', '7', '8', '9']
2025-09-10 15:14:11 | INFO     | debug_agent.py:debug_workflow_errors:213 | Saving workflow data for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:14:11 | INFO     | debug_agent.py:debug_workflow_errors:219 | Workflow saved with version ID: 8
2025-09-10 15:14:11 | INFO     | debug_agent.py:debug_workflow_errors:489 | -- Starting workflow validation process for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:14:12 | INFO     | debug_agent.py:debug_workflow_errors:496 | === Debug Coordinator starting ===
2025-09-10 15:14:12 | INFO     | debug_agent.py:debug_workflow_errors:523 | Handoff to: ComfyUI-Debug-Coordinator
2025-09-10 15:14:12 | INFO     | conversation_api.py:invoke_debug:541 | Debug completion checkpoint saved with ID: 9
2025-09-10 15:14:12 | INFO     | conversation_api.py:invoke_debug:546 | Debug agent processing complete
2025-09-10 15:14:13 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:14:13 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:15:09 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:15:09 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:15:09 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:15:09 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:15:09 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:15:13 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:15:13 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:15:13 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:15:14 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:15:14 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:15:14 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:15:14 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:15:14 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:15:14 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:15:14 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:15:15 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:15:15 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:15:15 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:22:25 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-09-10 15:22:26 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:22:26 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:22:26 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:22:26 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 9
2025-09-10 15:22:28 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 15:22:28 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 10
2025-09-10 15:22:28 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-09-10 15:22:28 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 15:22:28 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-09-10 15:22:28 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 10 historical messages
2025-09-10 15:22:28 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 10 for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:22:28 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'workflow_checkpoint_id': 10, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-09-10 15:22:29 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 10 messages
2025-09-10 15:22:29 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-09-10 15:22:29 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-09-10 15:22:29 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-09-10 15:22:29 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-09-10 15:22:29 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-09-10 15:22:29 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-09-10 15:22:34 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 15:22:35 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 11
2025-09-10 15:22:35 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-09-10 15:22:35 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 15:22:35 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-09-10 15:22:35 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 12 historical messages
2025-09-10 15:22:35 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 11 for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:22:35 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'workflow_checkpoint_id': 11, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-09-10 15:22:35 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 12 messages
2025-09-10 15:22:35 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-09-10 15:22:35 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-09-10 15:22:36 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-09-10 15:22:36 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-09-10 15:22:36 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-09-10 15:22:36 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-09-10 15:22:41 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 15:22:41 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 12
2025-09-10 15:22:41 | INFO     | conversation_api.py:invoke_debug:380 | Received debug-agent request
2025-09-10 15:22:41 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 15:22:41 | INFO     | conversation_api.py:invoke_debug:415 | Debug agent config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'model': 'gemini-2.5-flash', 'openai_api_key': None, 'openai_base_url': 'https://api.openai.com/v1'}
2025-09-10 15:22:41 | INFO     | conversation_api.py:invoke_debug:416 | Session ID: 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:22:41 | INFO     | conversation_api.py:invoke_debug:417 | Workflow nodes: ['3', '4', '5', '6', '7', '8', '9']
2025-09-10 15:22:41 | INFO     | debug_agent.py:debug_workflow_errors:213 | Saving workflow data for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:22:41 | INFO     | debug_agent.py:debug_workflow_errors:219 | Workflow saved with version ID: 13
2025-09-10 15:22:41 | INFO     | debug_agent.py:debug_workflow_errors:489 | -- Starting workflow validation process for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:22:41 | INFO     | debug_agent.py:debug_workflow_errors:496 | === Debug Coordinator starting ===
2025-09-10 15:22:41 | INFO     | debug_agent.py:debug_workflow_errors:523 | Handoff to: ComfyUI-Debug-Coordinator
2025-09-10 15:22:42 | INFO     | conversation_api.py:invoke_debug:541 | Debug completion checkpoint saved with ID: 14
2025-09-10 15:22:42 | INFO     | conversation_api.py:invoke_debug:546 | Debug agent processing complete
2025-09-10 15:22:42 | INFO     | conversation_api.py:update_workflow_ui:572 | Received update-workflow-ui request
2025-09-10 15:22:42 | INFO     | conversation_api.py:update_workflow_ui:597 | Successfully updated workflow_data_ui for checkpoint ID: 14
2025-09-10 15:27:58 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 15:27:58 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 15
2025-09-10 15:27:58 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-09-10 15:27:58 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 15:27:58 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-09-10 15:27:58 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 16 historical messages
2025-09-10 15:27:58 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 15 for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:27:58 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'workflow_checkpoint_id': 15, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-09-10 15:28:05 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 16 messages
2025-09-10 15:28:05 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-09-10 15:28:05 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-09-10 15:28:10 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-09-10 15:28:10 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-09-10 15:28:10 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-09-10 15:28:10 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-09-10 15:28:18 | INFO     | conversation_api.py:restore_workflow_checkpoint:325 | Received restore-workflow-checkpoint request
2025-09-10 15:28:18 | INFO     | conversation_api.py:restore_workflow_checkpoint:353 | Restored workflow checkpoint version ID: 12
2025-09-10 15:32:30 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 15:32:30 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 16
2025-09-10 15:32:30 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-09-10 15:32:30 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 15:32:30 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-09-10 15:32:30 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 20 historical messages
2025-09-10 15:32:30 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 16 for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:32:30 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'workflow_checkpoint_id': 16, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gpt-4.1'}
2025-09-10 15:32:31 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 20 messages
2025-09-10 15:32:31 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-09-10 15:32:31 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-09-10 15:32:31 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-09-10 15:32:31 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-09-10 15:32:31 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-09-10 15:32:31 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-09-10 15:40:02 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-09-10 15:40:02 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 17
2025-09-10 15:40:02 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-09-10 15:40:02 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-09-10 15:40:02 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-09-10 15:40:02 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 23 historical messages
2025-09-10 15:40:02 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 17 for session 3f2be485-46c7-498a-a012-78e75a7b7e2e
2025-09-10 15:40:02 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '3f2be485-46c7-498a-a012-78e75a7b7e2e', 'workflow_checkpoint_id': 17, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gpt-4.1'}
2025-09-10 15:40:17 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 23 messages
